person,personLabel,positionLabel,arTitle,enTitle,image
http://www.wikidata.org/entity/Q766776,Philippe Beaussant,رئيس,,Philippe Beaussant,
http://www.wikidata.org/entity/Q766920,أوغست بومل,رئيس,أوغست بومل,Auguste Pomel,http://commons.wikimedia.org/wiki/Special:FilePath/Auguste%20Pomel.jpg
http://www.wikidata.org/entity/Q770901,ريتشارد تي إلي,رئيس,ريتشارد تي إلي,Richard T. Ely,http://commons.wikimedia.org/wiki/Special:FilePath/Ely-Richard-T.jpg
http://www.wikidata.org/entity/Q776822,André Laronde,رئيس,,André Laronde,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9%20Laronde-1993.jpg
http://www.wikidata.org/entity/Q1236969,Dominique Noguez,رئيس,,Dominique Noguez,
http://www.wikidata.org/entity/Q1237199,André Vauchez,رئيس,,André Vauchez,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9%20Vauchez%2C%202013%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q1238152,Dominique Bertinotti,رئيس,,Dominique Bertinotti,http://commons.wikimedia.org/wiki/Special:FilePath/Marisol%20Touraine.jpg
http://www.wikidata.org/entity/Q1238522,أنجيلو رينالدي,رئيس,أنجيلو رينالدي,Angelo Rinaldi,http://commons.wikimedia.org/wiki/Special:FilePath/Angelo%20Rinaldi%20Academie.jpg
http://www.wikidata.org/entity/Q1238635,فرنسوا نوريسييه,رئيس,فرنسوا نوريسييه,François Nourissier,
http://www.wikidata.org/entity/Q1267356,François Noudelmann,رئيس,,François Noudelmann,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20Noudelmann%20%282021%29.png
http://www.wikidata.org/entity/Q1276440,Ejup Ganić,رئيس,,Ejup Ganić,
http://www.wikidata.org/entity/Q1280872,Patrick Sensburg,رئيس,,Patrick Sensburg,http://commons.wikimedia.org/wiki/Special:FilePath/Patrick%20Sensburg%20%282023%29.jpg
http://www.wikidata.org/entity/Q1294576,إدوين فرنسيس غاي,رئيس,إدوين فرنسيس غاي,Edwin Francis Gay,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Edwin%20Francis%20Gay.jpg
