person,personLabel,arTitle,image
http://www.wikidata.org/entity/Q8564951,فؤاد التريكي,فؤاد التريكي,
http://www.wikidata.org/entity/Q10396704,هشام شعبان,هشام شعبان,http://commons.wikimedia.org/wiki/Special:FilePath/Sahaban%20Hesham.jpg
http://www.wikidata.org/entity/Q10443964,محمد شحوت,محمد شحوت,
http://www.wikidata.org/entity/Q10530702,محمد الغنودي,محمد الغنودي,
http://www.wikidata.org/entity/Q12178614,أحمد الصغير,أحمد الصغير (لاعب كرة قدم ليبي),
http://www.wikidata.org/entity/Q12178908,أحمد سعد مصباح,أحمد سعد مصباح,
http://www.wikidata.org/entity/Q12191061,الفيتوري رجب,الفيتوري رجب,
http://www.wikidata.org/entity/Q12203527,تونس مفتاح,تونس مفتاح,
http://www.wikidata.org/entity/Q12207995,حسن عريبي,حسن عريبي,
http://www.wikidata.org/entity/Q12215132,سالمين الزروق,سالمين الزروق,
http://www.wikidata.org/entity/Q1370042,إستر فانوس,إستر فانوس,http://commons.wikimedia.org/wiki/Special:FilePath/EsterFanous.jpg
