person,personLabel,arTitle,enTitle,image
http://www.wikidata.org/entity/Q868836,Rashid Al-Mannai,,Rashid Al-Mannai,http://commons.wikimedia.org/wiki/Special:FilePath/Rashid%20Al-Mannai%202008cr.jpg
http://www.wikidata.org/entity/Q868919,حسين السبع,حسين السبع,Hussein Al-Sabee,http://commons.wikimedia.org/wiki/Special:FilePath/Hussein%20Al-Sabee%20at%20Josef%20Odlozil%20Memorial%20in%20Prague%2016June2008.jpg
http://www.wikidata.org/entity/Q879869,سعيد بن تيمور,سعيد بن تيمور,Said bin Taimur,http://commons.wikimedia.org/wiki/Special:FilePath/Sultan%20Wayyid%20Said%20Bin%20Taimur%20Bin%20Faisal%20arriving%20in%20Wash.%20to%20repay%20visit%20made%20by%20Edmund%20Roberts%20%281832%29%2C%20who%20was%20appointed%20by%20Pres.%20Andrew%20Jackson%20to%20negotiate%20treaties%20with%20small%20nations%20of%20LCCN2016878033%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q885411,سعيد بن أحمد بن سعيد,سعيد بن أحمد البوسعيدي,Said bin Ahmad Al Busaidi,
http://www.wikidata.org/entity/Q885547,سلطان بن أحمد بن سعيد,سلطان بن أحمد بن سعيد,Sultan bin Ahmad,
http://www.wikidata.org/entity/Q887353,حسين حاكم,حسين حاكم,Hussain Hakem,
http://www.wikidata.org/entity/Q887366,سامر المرطة,سامر المرطة,Samer Al Marta,
http://www.wikidata.org/entity/Q888050,ثويني بن سعيد بن سلطان,ثويني بن سعيد بن سلطان,Thuwaini bin Said,http://commons.wikimedia.org/wiki/Special:FilePath/Thuwaini%20bin%20Said.jpg
http://www.wikidata.org/entity/Q888268,جابر بن عبد الله الصباح,جابر بن عبد الله الصباح,Jaber I Al-Sabah,
http://www.wikidata.org/entity/Q1574023,حمزة كاشغري,حمزة كاشغري,Hamza Kashgari,http://commons.wikimedia.org/wiki/Special:FilePath/Hamza-kashgari-saudi-blogger-arrested-for-writting-verses-on-the-prophet-mohammed-birthday.gif
http://www.wikidata.org/entity/Q1574049,حمود عقلا الشعيبي,حمود عقلا الشعيبي,Al-Shu'aybi,
http://www.wikidata.org/entity/Q1593108,يوسف مرزا بني حماد,يوسف ميرزا الحمادي,Yousif Mirza,http://commons.wikimedia.org/wiki/Special:FilePath/Yousif%20Mirza%20Al-Hammadi%20%2827893939177%29%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q1617724,فهد الأحمد الجابر الصباح,فهد الأحمد الجابر الصباح,Fahad Al-Ahmed Al-Jaber Al-Sabah,
http://www.wikidata.org/entity/Q1638747,تري جونسون,تري جونسون,Trey Johnson,http://commons.wikimedia.org/wiki/Special:FilePath/Trey%20Johnson.jpg
http://www.wikidata.org/entity/Q1644747,دامي تراوري,دامي تراوري,Dame Traoré,
http://www.wikidata.org/entity/Q1650245,أسامة الشنقيطي,أسامة الشنقيطي,Osamah Al-Shanqiti,http://commons.wikimedia.org/wiki/Special:FilePath/2013%20IPC%20Athletics%20World%20Championships%20-%2026072013%20-%20Osamah%20Al%20Shanqiti%20of%20Saudi%20Arabia%20during%20the%20Men%27s%20Long%20jump%20-%20T12%201.jpg
http://www.wikidata.org/entity/Q1653263,ناصر بن حمد المنقور,ناصر بن حمد المنقور,Nasser Almanqour,
http://www.wikidata.org/entity/Q1656020,إبراهيم الحكمي,إبراهيم الحكمي,Ibrahim El Hakami,
http://www.wikidata.org/entity/Q1667673,سلطان الثاني اليعربي,سلطان الثاني بن سيف اليعربي,Sultan bin Saif II,
http://www.wikidata.org/entity/Q1681431,جميل بن إبراهيم الحجيلان,جميل بن إبراهيم الحجيلان,Jamil Ibrahim Hejailan,
http://www.wikidata.org/entity/Q1704432,سيف بن سلطان اليعربي,سيف بن سلطان اليعربي,Saif bin Sultan,
http://www.wikidata.org/entity/Q1708116,عزة القاسمي,عزة القاسمي,Azza Al-Qasmi,
http://www.wikidata.org/entity/Q1746137,نهيان بن مبارك آل نهيان,نهيان بن مبارك آل نهيان,Nahyan bin Mubarak Al Nahyan,http://commons.wikimedia.org/wiki/Special:FilePath/Nahyan%20Bin%20Mubarak%20Al%20Nahyan.jpg
http://www.wikidata.org/entity/Q1747936,محمد حسين,محمد حسين,Mohamed Husain,
http://www.wikidata.org/entity/Q1748458,سليمان حمد القصيبي,سليمان حمد القصيبي,Sulaiman Hamad Al Gosaibi,
http://www.wikidata.org/entity/Q1749070,ناصر الخرافي,ناصر الخرافي,Nasser Al-Kharafi,
http://www.wikidata.org/entity/Q1753897,حسين علي,حسين علي (لاعب كرة قدم),Husain Ali,
http://www.wikidata.org/entity/Q1762715,عبدالرحيم عادل,محمد عبد الجواد (لاعب كرة قدم),Mohamed Abd Al-Jawad,
http://www.wikidata.org/entity/Q1764345,عبد الله البلوشي,عبد الله البلوشي (لاعب كرة قدم كويتي),Abdullah Al-Buloushi,
