person,personLabel,arTitle,image
http://www.wikidata.org/entity/Q482338,الناصر شهاب الدين أحمد,الناصر شهاب الدين أحمد,
http://www.wikidata.org/entity/Q486463,أنس الفقي,أنس الفقي,
http://www.wikidata.org/entity/Q500452,أحمد شديد قناوي,أحمد شديد قناوي,http://commons.wikimedia.org/wiki/Special:FilePath/Qinawy.png
http://www.wikidata.org/entity/Q501274,رامي ربيعة,رامي ربيعة,http://commons.wikimedia.org/wiki/Special:FilePath/RamiRabea2020.jpg
http://www.wikidata.org/entity/Q507454,علي الكف,علي الكف,http://commons.wikimedia.org/wiki/Special:FilePath/Ali%20El-Kaf.jpg
http://www.wikidata.org/entity/Q509354,محمود وجدي,محمود وجدي,
http://www.wikidata.org/entity/Q513269,منصور عيسوي,منصور عيسوي,http://commons.wikimedia.org/wiki/Special:FilePath/Mansour%20al%20Essawy%20Minister%20of%20Interior%20Egypt%20ARABIC.gif
http://www.wikidata.org/entity/Q515980,رضا حافظ,رضا حافظ,
http://www.wikidata.org/entity/Q523640,عصام الحضري,عصام الحضري,http://commons.wikimedia.org/wiki/Special:FilePath/Essam%20El-Hadary.jpg
http://www.wikidata.org/entity/Q537159,محمد العرابي,محمد العرابي,http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20Orabi.png
http://www.wikidata.org/entity/Q539171,داليدا,داليدا,http://commons.wikimedia.org/wiki/Special:FilePath/Dalida19673%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q2267599,مفتاح غزالة,مفتاح غزالة,http://commons.wikimedia.org/wiki/Special:FilePath/Gazalla%20Meftah%20BenTaher%202006.jpg
http://www.wikidata.org/entity/Q2409492,أحمد سعد عثمان,أحمد سعد عثمان,http://commons.wikimedia.org/wiki/Special:FilePath/Libye%20-%20Alg%C3%A9rie2.jpg
http://www.wikidata.org/entity/Q2635491,أيمن زايد,أيمن زايد,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89amon%20Zayed.jpg
http://www.wikidata.org/entity/Q2701242,أحمد الزوي,أحمد الزوي,
http://www.wikidata.org/entity/Q2820934,عبد الله شريف,عبد الله شريف,
http://www.wikidata.org/entity/Q2821433,عبد العزيز بالريش,عبد العزيز بالريش,
http://www.wikidata.org/entity/Q2827552,أحمد فرج المصلي,أحمد فرج المصلي,
http://www.wikidata.org/entity/Q3052110,نادر الترهوني,نادر الترهوني,
http://www.wikidata.org/entity/Q3067657,فوزي العيساوي,فوزي العيساوي,
http://www.wikidata.org/entity/Q238529,سوزان مبارك,سوزان مبارك,http://commons.wikimedia.org/wiki/Special:FilePath/Suzanne%20Mubarak%201.jpg
http://www.wikidata.org/entity/Q253526,خيرت الشاطر,خيرت الشاطر,http://commons.wikimedia.org/wiki/Special:FilePath/Khairat%20Alshater.jpg
http://www.wikidata.org/entity/Q254274,محمود المليجي,محمود المليجي,http://commons.wikimedia.org/wiki/Special:FilePath/Mahmoud%20Elmeligy.jpg
http://www.wikidata.org/entity/Q255204,محمد دياب العطار,محمد دياب العطار,http://commons.wikimedia.org/wiki/Special:FilePath/Ad-Diba.jpg
http://www.wikidata.org/entity/Q258541,حميد الشاعري,حميد الشاعري,http://commons.wikimedia.org/wiki/Special:FilePath/Hameedelshaeri.jpg
http://www.wikidata.org/entity/Q258541,حميد الشاعري,حميد الشاعري,http://commons.wikimedia.org/wiki/Special:FilePath/Hameedelshaeri.jpg
http://www.wikidata.org/entity/Q263719,أحمد أبو مسلم,أحمد أبو مسلم,
http://www.wikidata.org/entity/Q268615,وردة الجزائرية,وردة الجزائرية,http://commons.wikimedia.org/wiki/Special:FilePath/1%20%2847%29Warda%20El%20Djazairia.jpg
http://www.wikidata.org/entity/Q268615,وردة الجزائرية,وردة الجزائرية,http://commons.wikimedia.org/wiki/Special:FilePath/1%20%2847%29Warda%20El%20Djazairia.jpg
http://www.wikidata.org/entity/Q268615,وردة الجزائرية,وردة الجزائرية,http://commons.wikimedia.org/wiki/Special:FilePath/Warda%20Al%20Jazairia.jpg
http://www.wikidata.org/entity/Q268615,وردة الجزائرية,وردة الجزائرية,http://commons.wikimedia.org/wiki/Special:FilePath/Warda%20Al%20Jazairia.jpg
http://www.wikidata.org/entity/Q268615,وردة الجزائرية,وردة الجزائرية,http://commons.wikimedia.org/wiki/Special:FilePath/Warda2.jpg
